TrackMan Performance Studio
Player: Test Player
Activity: Driving Range

Date,Time,Club,Club Speed [mph],Attack Angle [deg],Club Path [deg],Face Angle [deg],Face To Path [deg],Dynamic Loft [deg],Spin Loft [deg],Low Point [in],Impact Offset [mm],Impact Height [mm],Ball Speed [mph],Smash Factor,Launch Angle [deg],Launch Direction [deg],Spin Rate [rpm],Spin Axis [deg],Carry [yds],Total [yds],Side [yds],Curve [yds],Height [ft],Landing Angle [deg],Hang Time [s]
2026-08-03,14:05:00,7 Iron,82.6,-3.9,0.0,2.8,2.8,27.2,31.1,2.3,-6.6,2.6,102.6,1.242,19.7,1.9,6753,5.5,146.5,150.5,8.2,3.2,63.5,42.0,6.6
2026-08-03,14:06:00,7 Iron,82.3,-3.1,-0.4,0.6,1.1,26.6,29.7,2.1,2.2,-2.5,106.9,1.299,18.2,0.5,6575,1.9,153.6,157.6,2.6,1.2,61.7,43.5,5.4
2026-08-03,14:07:00,7 Iron,85.2,-2.7,-1.7,0.6,2.3,26.6,29.3,1.3,0.9,4.8,114.1,1.340,18.6,0.1,6578,4.3,165.5,169.5,3.2,2.9,62.7,43.5,6.2
2026-08-03,14:08:00,7 Iron,83.9,-3.9,-2.2,-1.8,0.3,26.6,30.5,1.8,4.7,-0.4,106.0,1.263,18.6,-2.3,6619,0.5,153.6,157.6,-5.8,0.3,67.4,46.4,6.7
2026-08-03,14:09:00,7 Iron,84.8,-2.6,-2.2,-1.5,0.7,26.6,29.2,3.4,5.0,4.5,106.4,1.254,17.4,-1.5,6894,1.8,156.4,160.4,-2.9,1.1,76.8,46.2,5.5
2026-08-03,14:10:00,7 Iron,83.5,-3.5,-1.0,1.7,2.7,27.3,30.8,3.2,1.4,0.6,107.7,1.289,18.3,0.9,6534,5.8,156.9,160.9,6.1,3.6,58.5,39.0,5.8
2026-08-03,14:11:00,7 Iron,81.5,-3.3,0.2,1.0,0.8,27.3,30.5,3.2,5.5,2.3,101.2,1.241,19.4,1.1,6830,2.4,146.4,150.4,4.3,1.4,57.9,49.5,6.5
2026-08-03,14:12:00,7 Iron,83.1,-4.0,0.2,0.7,0.6,27.7,31.6,3.2,4.7,-2.8,104.4,1.256,18.5,0.5,6934,0.7,149.4,153.4,1.6,0.4,66.2,43.4,6.7
2026-08-03,14:13:00,7 Iron,82.7,-3.9,-0.5,-0.1,0.3,26.0,29.9,2.4,2.5,1.3,106.0,1.282,18.4,-0.2,6521,0.6,153.1,157.1,-0.1,0.4,63.5,44.4,6.6
2026-08-03,14:14:00,7 Iron,82.0,-4.2,-0.7,1.0,1.8,26.6,30.8,1.2,8.1,-2.1,101.3,1.235,19.2,0.4,6389,3.1,147.8,151.8,3.0,1.8,64.5,45.5,6.0
2026-08-03,14:15:00,7 Iron,83.7,-4.3,-0.0,1.0,1.0,26.8,31.1,3.6,7.6,6.5,104.0,1.243,18.6,0.8,6757,2.0,150.0,154.0,3.3,1.2,68.6,45.7,5.6
2026-08-03,14:16:00,7 Iron,82.7,-4.5,-2.5,-1.4,1.1,28.4,32.9,3.1,4.1,0.5,105.4,1.275,18.6,-2.4,6960,2.6,154.3,158.3,-4.8,1.6,68.6,44.9,5.6
2026-08-03,14:17:00,Driver,99.9,0.7,-0.2,-1.1,-0.9,14.2,13.5,1.6,4.3,2.2,140.7,1.408,11.8,-0.6,2741,-2.3,238.6,256.6,-4.7,-2.2,37.7,49.7,6.2
2026-08-03,14:18:00,Driver,97.8,1.5,-0.7,0.1,0.8,14.4,12.9,-0.4,1.0,-1.3,143.7,1.470,11.1,0.2,2731,3.3,244.1,262.1,4.1,3.2,42.0,43.9,6.7
2026-08-03,14:19:00,Driver,97.2,2.7,-1.8,-0.8,1.0,13.2,10.5,0.8,1.0,1.3,142.3,1.464,10.9,-1.1,2471,1.6,241.8,259.8,-2.9,1.6,35.9,40.4,5.9
2026-08-03,14:20:00,Driver,97.6,1.1,-2.6,-1.4,1.2,13.3,12.2,0.2,3.8,-4.2,138.0,1.413,11.3,-1.6,2394,3.5,238.2,256.2,-3.1,3.3,34.9,44.7,5.8
2026-08-03,14:21:00,Driver,97.7,1.3,-0.6,-0.5,0.1,14.2,13.0,0.1,4.3,-1.4,137.8,1.411,11.9,-0.4,2603,0.1,237.6,255.6,-1.6,0.1,37.7,43.3,6.4
2026-08-03,14:22:00,Driver,98.6,1.2,-1.4,-2.3,-0.9,14.9,13.7,0.5,4.1,-0.8,138.0,1.400,11.8,-2.1,2692,-2.3,233.1,251.1,-10.7,-2.2,34.7,45.6,6.3
2026-08-03,14:23:00,Driver,98.0,1.6,-2.4,-1.3,1.1,15.0,13.4,-0.2,4.7,-2.5,135.5,1.383,10.8,-1.6,2690,3.9,229.8,247.8,-3.0,3.6,37.2,39.1,7.3
2026-08-03,14:24:00,Driver,96.3,2.4,-2.7,-1.6,1.1,13.0,10.6,0.0,1.4,-1.5,138.0,1.433,10.5,-2.2,2445,1.9,235.6,253.6,-7.3,1.8,36.3,44.0,6.5
2026-08-03,14:25:00,Driver,98.5,1.6,-0.5,1.6,2.1,14.1,12.5,0.5,5.0,-2.8,138.9,1.410,11.4,1.1,2710,5.4,238.8,256.8,9.6,5.1,36.0,45.6,6.0
2026-08-03,14:26:00,Driver,97.3,1.4,-0.2,0.5,0.7,12.9,11.5,1.1,4.5,5.3,137.1,1.410,11.1,0.9,2443,0.8,233.6,251.6,4.3,0.7,38.9,43.4,6.9
2026-08-03,14:27:00,Driver,97.9,1.1,-0.6,-0.7,-0.1,13.3,12.2,1.0,5.6,-1.2,136.4,1.393,11.8,-0.8,2484,-0.4,233.5,251.5,-3.6,-0.3,34.5,42.1,6.5
2026-08-03,14:28:00,Driver,96.8,1.6,-1.4,-2.3,-1.0,14.2,12.6,-0.3,3.1,6.4,138.7,1.434,10.7,-2.7,2672,-2.5,234.3,252.3,-13.6,-2.3,31.7,49.4,6.2
