TrackMan Performance Studio
Player: Test Player
Activity: Driving Range

Date,Time,Club,Club Speed [mph],Attack Angle [deg],Club Path [deg],Face Angle [deg],Face To Path [deg],Dynamic Loft [deg],Spin Loft [deg],Low Point [in],Impact Offset [mm],Impact Height [mm],Ball Speed [mph],Smash Factor,Launch Angle [deg],Launch Direction [deg],Spin Rate [rpm],Spin Axis [deg],Carry [yds],Total [yds],Side [yds],Curve [yds],Height [ft],Landing Angle [deg],Hang Time [s]
2026-07-13,14:05:00,7 Iron,82.7,-2.7,-4.1,0.6,4.7,28.3,30.9,2.2,12.9,2.3,102.7,1.242,17.9,0.0,5978,12.5,149.3,153.3,7.5,7.4,68.2,45.5,5.7
2026-07-13,14:06:00,7 Iron,83.0,-3.6,-5.1,0.6,5.7,28.2,31.8,2.5,5.5,4.6,102.0,1.229,16.0,-0.8,6480,12.7,148.8,152.8,5.5,7.6,65.5,43.0,5.6
2026-07-13,14:07:00,7 Iron,82.6,-4.1,-7.4,-1.8,5.6,29.2,33.3,3.4,12.3,0.9,106.2,1.286,19.5,-3.0,6730,14.0,157.7,161.7,0.5,8.8,58.8,44.1,5.4
2026-07-13,14:08:00,7 Iron,80.9,-4.1,-4.4,2.8,7.3,27.8,31.9,2.6,6.1,1.9,102.1,1.261,18.1,1.6,7191,20.2,149.0,153.0,16.2,12.0,61.0,39.0,6.5
2026-07-13,14:09:00,7 Iron,82.2,-2.5,-3.3,0.9,4.2,26.8,29.3,3.6,5.5,-1.5,102.4,1.247,18.8,-0.6,6386,12.0,148.7,152.7,5.5,7.1,51.5,46.6,5.9
2026-07-13,14:10:00,7 Iron,82.2,-3.8,-4.2,-0.8,3.4,28.4,32.2,1.9,2.7,-4.1,101.1,1.230,19.0,-1.2,6991,8.7,145.8,149.8,2.1,5.1,59.3,46.1,5.9
2026-07-13,14:11:00,7 Iron,81.8,-3.1,-1.5,4.6,6.1,25.7,28.7,0.9,1.6,4.9,105.9,1.295,18.5,3.6,6535,15.7,155.0,159.0,19.4,9.8,64.5,43.0,5.6
2026-07-13,14:12:00,7 Iron,81.6,-4.4,-3.1,0.0,3.1,28.0,32.4,2.8,12.3,4.2,100.3,1.230,17.2,-0.7,7302,5.8,141.9,145.9,1.6,3.3,56.7,45.2,5.7
2026-07-13,14:13:00,7 Iron,83.4,-2.8,-7.1,-2.9,4.2,26.6,29.4,1.6,17.4,3.3,101.0,1.210,18.0,-3.5,7157,10.1,146.0,150.0,-3.0,5.9,61.2,47.9,5.9
2026-07-13,14:14:00,7 Iron,82.6,-4.2,-3.6,-1.0,2.6,25.9,30.0,2.6,15.8,-1.7,100.7,1.219,17.7,-1.0,6806,3.9,146.0,150.0,-0.4,2.3,70.6,43.6,6.1
2026-07-13,14:15:00,7 Iron,80.8,-3.5,-5.0,-0.7,4.3,27.8,31.3,2.8,11.1,4.3,99.4,1.230,16.7,-1.8,6416,10.7,142.0,146.0,1.6,6.1,67.6,51.3,5.9
2026-07-13,14:16:00,7 Iron,81.9,-4.4,-6.2,-2.3,3.8,27.2,31.7,2.8,8.5,-2.8,102.2,1.248,19.4,-2.5,7229,9.5,147.9,151.9,-0.8,5.6,64.6,45.5,6.2
2026-07-13,14:17:00,Driver,99.2,1.4,-4.0,0.9,5.0,15.9,14.6,1.0,13.2,4.3,137.5,1.386,9.9,-0.2,2944,9.1,233.5,251.5,7.7,8.5,31.8,44.5,6.3
2026-07-13,14:18:00,Driver,95.6,1.4,-5.5,-1.3,4.1,16.2,14.7,-0.8,10.6,3.3,132.7,1.387,13.4,-2.3,2808,11.2,225.1,243.1,1.0,10.0,47.2,44.2,5.7
2026-07-13,14:19:00,Driver,95.3,0.1,-4.3,0.6,4.9,15.7,15.5,-0.5,13.6,-1.4,128.1,1.344,10.7,-1.0,2905,11.7,215.2,233.2,6.3,10.1,32.2,43.0,6.5
2026-07-13,14:20:00,Driver,97.3,-0.3,-3.2,1.9,5.1,14.7,15.0,-0.9,0.2,7.9,144.4,1.485,11.0,1.7,2827,12.9,244.0,262.0,19.6,12.5,48.4,49.0,6.1
