TrackMan Performance Studio
Player: Test Player
Activity: Driving Range

Date,Time,Club,Club Speed [mph],Attack Angle [deg],Club Path [deg],Face Angle [deg],Face To Path [deg],Dynamic Loft [deg],Spin Loft [deg],Low Point [in],Impact Offset [mm],Impact Height [mm],Ball Speed [mph],Smash Factor,Launch Angle [deg],Launch Direction [deg],Spin Rate [rpm],Spin Axis [deg],Carry [yds],Total [yds],Side [yds],Curve [yds],Height [ft],Landing Angle [deg],Hang Time [s]
2026-07-20,14:05:00,7 Iron,83.3,-3.0,-5.5,-0.9,4.6,27.9,30.9,1.5,0.7,1.1,109.5,1.315,18.5,-1.7,6559,10.7,157.5,161.5,0.0,6.7,59.9,42.3,6.7
2026-07-20,14:06:00,7 Iron,81.2,-3.3,-5.8,0.3,6.1,26.3,29.6,1.0,5.0,1.6,102.8,1.266,19.2,-1.2,6628,12.9,148.6,152.6,-7.0,7.6,70.1,46.5,6.6
2026-07-20,14:07:00,7 Iron,83.2,-3.9,-3.1,1.1,4.2,26.1,30.1,2.1,7.5,1.7,104.7,1.259,18.8,0.4,6107,10.0,154.2,158.2,7.8,6.1,63.0,47.3,6.1
2026-07-20,14:08:00,7 Iron,84.2,-3.9,-4.5,-0.4,4.1,27.2,31.0,3.2,13.8,1.6,105.1,1.248,18.3,-2.0,6730,7.0,151.9,155.9,-3.8,4.3,56.4,42.0,6.1
2026-07-20,14:09:00,7 Iron,78.4,-4.4,-5.7,-2.2,3.5,27.4,31.8,1.2,12.8,1.0,98.3,1.253,19.1,-3.4,6706,10.1,141.6,145.6,-3.3,5.7,65.9,37.0,6.2
2026-07-20,14:10:00,7 Iron,80.8,-4.4,-4.6,-1.1,3.5,27.6,32.0,2.3,14.7,0.0,99.0,1.226,18.0,-1.8,6912,8.7,143.5,147.5,3.9,5.0,63.9,46.9,5.4
2026-07-20,14:11:00,7 Iron,82.3,-3.7,-5.5,-1.1,4.4,28.9,32.5,3.0,8.3,2.0,102.9,1.251,18.5,-1.6,7324,9.6,147.2,151.2,4.3,5.7,56.7,46.5,5.4
2026-07-20,14:12:00,7 Iron,82.8,-4.3,-3.2,1.3,4.5,27.5,31.9,1.8,5.6,0.1,103.1,1.245,19.3,0.5,6849,11.9,146.3,150.3,8.6,7.0,55.8,49.8,5.9
2026-07-20,14:13:00,7 Iron,84.3,-2.3,-2.0,0.6,2.6,28.6,30.9,2.5,6.1,1.8,105.8,1.256,17.7,0.4,6602,6.8,155.1,159.1,7.5,4.2,66.3,43.2,6.9
2026-07-20,14:14:00,7 Iron,84.0,-3.5,-4.0,-1.9,2.1,27.4,30.9,2.1,14.7,4.3,105.0,1.250,18.8,-2.5,6674,5.6,152.2,156.2,-11.7,3.4,62.5,50.4,5.4
2026-07-20,14:15:00,7 Iron,83.5,-4.3,-3.0,1.5,4.6,27.6,31.9,3.1,7.3,1.3,104.4,1.250,19.1,0.4,7469,11.0,148.9,152.9,9.1,6.5,66.9,45.6,6.4
2026-07-20,14:16:00,7 Iron,83.0,-3.7,-5.7,0.5,6.1,27.7,31.5,1.3,14.0,1.7,101.9,1.228,20.6,-0.6,7254,15.1,146.1,150.1,10.4,8.8,63.8,39.1,6.0
2026-07-20,14:17:00,Driver,98.0,1.3,-4.0,-1.1,2.9,13.1,11.8,-0.0,-0.6,-2.6,143.4,1.464,12.6,-0.9,2757,6.7,243.6,261.6,20.3,6.5,33.8,42.2,6.6
2026-07-20,14:18:00,Driver,98.7,1.9,-5.6,-0.7,4.9,13.7,11.8,-0.2,9.1,3.0,137.4,1.392,11.9,-2.3,2490,8.2,231.8,249.8,-10.2,7.6,40.4,43.2,6.4
2026-07-20,14:19:00,Driver,99.1,0.2,-4.5,1.4,5.9,14.0,13.9,1.1,7.2,2.3,137.4,1.387,10.1,0.6,2704,17.8,234.5,252.5,22.6,16.7,38.4,44.5,6.7
2026-07-20,14:20:00,Driver,98.1,0.9,-3.0,1.9,4.8,14.0,13.0,0.3,0.8,-6.1,143.6,1.464,11.5,0.8,2581,11.8,246.5,264.5,11.5,11.7,40.6,44.6,7.0
2026-07-20,14:21:00,Driver,97.6,0.2,-4.4,0.1,4.5,14.6,14.4,-0.1,10.7,3.6,136.6,1.399,11.8,-0.4,2898,12.3,232.8,250.8,-8.1,11.4,39.7,43.4,6.7
2026-07-20,14:22:00,Driver,97.8,1.6,-1.5,3.2,4.7,15.2,13.6,-0.9,2.0,-2.4,139.6,1.428,10.8,2.2,2828,13.3,235.2,253.2,24.2,12.5,42.0,44.0,6.1
2026-07-20,14:23:00,Driver,98.8,2.4,-5.3,0.5,5.8,13.2,10.8,1.5,9.5,5.8,138.9,1.406,8.9,-0.2,2453,12.9,238.6,256.6,7.9,12.3,33.9,39.4,5.8
2026-07-20,14:24:00,Driver,99.8,2.2,-0.6,3.2,3.8,13.2,11.0,0.6,8.3,-4.2,137.8,1.381,10.4,2.4,2382,7.5,234.1,252.1,17.8,7.0,33.8,44.6,6.4
2026-07-20,14:25:00,Driver,96.9,0.5,-3.4,0.0,3.4,13.9,13.4,-0.3,6.2,1.8,133.2,1.374,11.7,-0.3,2558,9.8,226.0,244.0,13.6,8.8,38.5,43.6,5.9
2026-07-20,14:26:00,Driver,99.4,1.2,-5.0,-1.6,3.4,13.4,12.2,-0.9,7.9,-2.6,136.5,1.373,11.3,-2.4,2655,7.1,229.6,247.6,-11.9,6.5,50.3,38.2,6.7
2026-07-20,14:27:00,Driver,97.5,0.1,-4.1,0.6,4.7,12.7,12.6,-1.0,-5.7,-1.7,133.7,1.371,10.5,-0.6,2349,11.6,228.3,246.3,8.4,10.6,36.8,44.4,5.8
2026-07-20,14:28:00,Driver,97.7,0.5,-4.7,-1.6,3.1,15.0,14.4,0.9,11.6,5.3,135.3,1.384,9.5,-2.3,2739,8.9,231.4,249.4,-2.6,8.2,46.1,47.8,5.8
